booking_id,customer_id,customer_name,gender,age,city,customer_type,room_id,room_number,room_type,price_per_night,check_in,check_out,stay_days,guests,booking_channel,booking_status,payment_method,payment_status,revenue,rating,cleanliness_rating,service_rating,year,month,month_name,weekday
42,42,Bhavana S,Female,29,Hyderabad,Leisure,10,205,Deluxe,4000.0,2026-05-03,2026-05-06,3,2,Booking.com,Completed,Credit Card,Paid,12000.0,5,5,5,2026,5,May,Sunday
3,3,Rahul Raj,Male,35,Coimbatore,Business,11,301,Suite,6500.0,2026-01-10,2026-01-14,4,3,Website,Completed,Debit Card,Paid,26000.0,5,5,4,2026,1,January,Saturday
31,31,Vasanth K,Male,31,Madurai,Business,11,301,Suite,6500.0,2026-04-01,2026-04-04,3,3,Website,Completed,UPI,Paid,19500.0,5,5,5,2026,4,April,Wednesday
6,6,Divya Mohan,Female,30,Kochi,Leisure,12,302,Suite,6500.0,2026-01-18,2026-01-22,4,4,Booking.com,Completed,UPI,Paid,26000.0,5,5,5,2026,1,January,Sunday
20,20,Harini M,Female,26,Chennai,Leisure,12,302,Suite,6500.0,2026-02-25,2026-03-01,4,3,Website,Completed,Net Banking,Paid,26000.0,5,5,4,2026,2,February,Wednesday
48,48,Maya S,Female,27,Madurai,Leisure,12,302,Suite,6500.0,2026-05-18,2026-05-22,4,4,Website,Completed,Debit Card,Paid,26000.0,5,5,5,2026,5,May,Monday
9,9,Suresh Babu,Male,45,Bangalore,Business,13,303,Suite,6500.0,2026-01-25,2026-01-29,4,3,Booking.com,Completed,Cash,Paid,26000.0,5,5,5,2026,1,January,Sunday
37,37,Vignesh R,Male,30,Coimbatore,Business,13,303,Suite,6500.0,2026-04-15,2026-04-19,4,3,Booking.com,Completed,Credit Card,Paid,26000.0,5,5,4,2026,4,April,Wednesday
12,12,Lakshmi Priya,Female,31,Madurai,Leisure,14,304,Suite,6500.0,2026-02-04,2026-02-08,4,4,MakeMyTrip,Completed,Credit Card,Paid,26000.0,4,4,5,2026,2,February,Wednesday
26,26,Ramya Krishnan,Female,35,Kochi,Leisure,15,305,Suite,6500.0,2026-03-15,2026-03-19,4,4,Booking.com,Completed,UPI,Paid,26000.0,5,5,5,2026,3,March,Sunday
11,11,Ravi Shankar,Male,38,Coimbatore,Business,16,401,Executive,8000.0,2026-02-02,2026-02-05,3,3,Website,Completed,UPI,Paid,24000.0,5,5,5,2026,2,February,Monday
43,43,Hari Prasad,Male,39,Coimbatore,Business,16,401,Executive,8000.0,2026-05-05,2026-05-08,3,2,Walk-in,Completed,Debit Card,Paid,24000.0,5,4,5,2026,5,May,Tuesday
17,17,Naveen Raj,Male,36,Kochi,Business,17,402,Executive,8000.0,2026-02-18,2026-02-22,4,4,Website,Completed,Credit Card,Paid,32000.0,5,5,5,2026,2,February,Wednesday
45,45,Sanjay M,Male,28,Chennai,Business,17,402,Executive,8000.0,2026-05-10,2026-05-14,4,3,Booking.com,Completed,Net Banking,Paid,32000.0,5,5,5,2026,5,May,Sunday
23,23,Deepak R,Male,43,Coimbatore,Business,18,403,Executive,8000.0,2026-03-07,2026-03-10,3,3,Website,Completed,Debit Card,Paid,24000.0,5,5,5,2026,3,March,Saturday
40,40,Swathi K,Female,26,Bangalore,Leisure,20,405,Executive,8000.0,2026-04-23,2026-04-27,4,4,Website,Completed,Net Banking,Paid,32000.0,5,5,5,2026,4,April,Thursday
